,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
CatBoost,0.078,0.0067,0.1022,0.0099,0.7587,0.0383
XGBoost,0.0792,0.0067,0.1034,0.0109,0.7532,0.0408
Neural Network,0.0807,0.0065,0.1039,0.011,0.7509,0.0409
Random Forest,0.0792,0.0061,0.1041,0.0096,0.7501,0.0356
Ridge,0.0878,0.0052,0.1112,0.0087,0.7153,0.0307
